x,q_aorta
0.478531,0.067
0.549619,0.106
0.624048,0.395
0.695137,0.694
0.759067,0.494
0.801518,-1.728
0.838243,-4.193
0.86257,-5.314
0.871179,-0.902
0.874567,9.27
0.878005,29.886
0.883951,76.082
0.889982,140.292
0.901237,199.265
0.90769,251.725
0.915043,292.955
0.926632,322.162
0.933377,335.718
0.938661,343.273
0.945805,340.64
0.951522,339.055
0.957693,332.509
0.964353,328.31
0.970952,311.579
0.980869,290.138
0.990803,272.353
1.003569,248.031
1.014897,222.408
1.027644,194.169
1.04131,158.617
1.057824,119.923
1.076235,78.873
1.087999,44.633
1.096913,13.012
1.102069,-6.325
1.108712,-13.918
1.115401,-11.85
1.123576,1.44
1.128322,-3.796
1.132622,-2.504
