x,q_mitral
0.110182,0.896
0.130103,11.308
0.143581,32.177
0.155199,54.79
0.168037,96.987
0.176086,133.535
0.183236,173.13
0.189372,207.505
0.195396,234.045
0.203199,253.183
0.210147,278.415
0.221477,280.572
0.229053,283.606
0.242137,276.619
0.254126,258.752
0.267031,239.143
0.273401,223.463
0.282528,202.99
0.29264,185.562
0.299957,170.316
0.305324,150.285
0.310685,129.818
0.318913,112.394
0.328169,101.061
0.333702,92.781
0.339253,85.808
0.35243,85.349
0.362806,86.637
0.36955,97.507
0.379994,103.582
0.394235,111.827
0.407307,103.97
0.418434,91.763
0.427524,68.679
0.433826,48.211
0.439199,28.615
0.446301,-1.865
0.446886,-27.111
0.449416,-48.008
0.452801,-74.999
0.454359,-98.071
0.456962,-113.744
0.457719,-126.803
0.461344,-136.821
0.465277,-125.076
0.468304,-110.717
0.470569,-83.735
0.473781,-56.32
0.47695,-31.951
0.477085,-22.376
0.480931,-16.724
0.485541,-23.696
0.491117,-28.929
0.500656,-20.241
0.507388,-10.241
0.529125,-4.621
0.560259,-0.323
0.601695,0.041
0.648769,-0.477
0.696784,-0.995
0.727863,-0.614
0.75517,-0.662
