x,pressure_lv,pressure_aorta,pressure_la
0.111715,31.3586,107.6179,14.9813
0.117108,27.6509,107.3349,14.9143
0.117179,27.6072,107.3312,14.9135
0.126613,22.5022,106.8291,14.7844
0.144325,14.4222,105.6565,14.2033
0.147987,12.8788,105.3348,13.998
0.15832,8.8579,104.225,13.2738
0.175139,5.1792,102.3126,11.7506
0.176047,5.0181,102.2227,11.6587
0.176136,5.0019,102.214,11.6497
0.205067,1.5145,99.9356,8.7182
0.208794,1.3927,99.6701,8.4027
0.211683,1.3288,99.4596,8.176
0.234054,1.3449,97.4791,6.8224
0.250051,1.6322,95.7783,5.9991
0.264995,1.9487,94.2599,5.1719
0.267729,1.9997,94.0034,5.0521
0.28562,2.2199,92.5134,4.7435
0.301411,2.3125,91.267,4.9997
0.308069,2.3647,90.6954,5.1885
0.336025,2.7208,88.1619,6.3529
0.338069,2.7515,87.9834,6.4635
0.364255,3.1645,85.8127,7.9673
0.373449,3.3134,85.0598,8.1626
0.374601,3.3327,84.9645,8.1664
0.409209,4.3219,82.0783,7.5459
0.417421,4.8445,81.4102,7.4692
0.42141,5.1837,81.0905,7.4774
0.439206,8.051,79.706,7.9328
0.454249,14.7216,78.6071,8.4526
0.456999,16.6552,78.4183,8.4399
0.459912,19.5336,78.2252,8.2846
0.461397,21.0855,78.1304,8.127
0.471269,32.4848,77.6195,6.8408
0.472901,34.7818,77.5671,6.7934
0.478881,45.432,77.4555,6.871
0.481989,52.5016,77.4132,6.9856
0.482709,54.3086,77.4023,7.0159
0.487502,66.1437,77.3373,7.238
0.493227,77.6101,77.3346,7.5182
0.499897,90.0017,77.56,7.806
0.504693,102.2065,78.052,7.9359
0.504747,102.3293,78.0605,7.9367
0.506342,105.6624,78.3636,7.9531
0.513243,115.3396,84.4976,7.8415
0.513904,116.0059,85.9503,7.8174
0.521495,122.2793,96.6793,7.4879
0.526448,125.705,103.3219,7.3199
0.528134,126.8248,105.7438,7.2816
0.532829,129.3065,111.9744,7.2276
0.535709,130.237,114.8092,7.2294
0.536793,130.522,115.7319,7.2356
0.548908,132.8179,124.4352,7.4413
0.55836,133.9648,129.8765,7.7192
0.561139,134.2059,130.7331,7.8155
0.578721,134.9713,133.2141,8.5708
0.580841,135.0056,133.3148,8.6821
0.581762,135.019,133.343,8.7323
0.594418,135.0202,132.3299,9.5486
0.59486,135.0102,132.2481,9.5811
0.605151,134.4113,131.3349,10.3368
0.606828,134.2283,131.4507,10.4495
0.60705,134.202,131.4699,10.4641
0.619213,132.2643,133.1985,11.1795
0.620606,131.9985,133.4388,11.2554
0.62765,130.5082,134.3166,11.6332
0.629483,130.0672,134.3736,11.731
0.638825,127.7667,134.6935,12.2375
0.63889,127.7516,134.6984,12.2412
0.640553,127.3709,134.8392,12.3342
0.650973,125.192,135.644,12.9369
0.652943,124.8101,135.6377,13.0519
0.664526,122.7112,134.3431,13.7048
0.667907,122.1376,133.8054,13.8827
0.677144,120.3218,132.5731,14.3286
0.678961,119.8562,132.3711,14.4088
0.681,119.2779,132.1559,14.4958
0.688346,116.7294,131.2921,14.7873
0.693155,114.5716,130.3205,14.963
0.697662,111.6563,128.9511,15.1189
0.705287,104.3069,126.0822,15.3668
0.706476,103.0706,125.6237,15.4039
0.713685,95.689,122.9489,15.6213
0.714359,94.9459,122.7018,15.641
0.718345,89.8514,120.7358,15.7557
0.719906,87.3734,119.3804,15.7998
0.722058,83.4822,117.2278,15.8599
0.724855,78.6897,115.1869,15.9369
0.724972,78.5063,115.1239,15.9401
0.726712,75.934,114.2753,15.9874
0.732832,67.8863,111.7355,16.1504
0.73604,63.9591,110.5885,16.2334
0.739774,59.391,110.4059,16.3279
0.739784,59.3791,110.4077,16.3281
0.746255,51.5422,110.9647,16.4863
0.746343,51.4495,110.9693,16.4885
0.754147,44.4342,111.2929,16.672
0.75571,43.1255,111.349,16.7084
0.75576,43.0833,111.3508,16.7095
