x,Curve1
0.174135,0.57
0.177188,-15.863
0.180242,-35.697
0.181768,-56.669
0.184821,-73.102
0.187874,-88.4
0.193981,-108.793
0.197034,-87.808
0.200087,-73.627
0.201613,-32.237
0.206193,0.658
0.20772,15.969
0.209246,35.249
0.215352,8.053
0.221459,-10.072
0.229091,6.957
0.24283,-4.911
0.250463,-0.355
0.271835,0.271
0.317631,0.396
0.352742,-0.074
0.392432,13.641
0.410751,42.605
0.426016,94.804
0.430596,131.1
0.439755,169.109
0.453494,204.863
0.485552,171.503
0.519136,131.343
0.551194,94.58
0.583251,66.889
0.619889,49.414
0.673318,34.254
0.735907,27.055
0.786283,23.225
0.812234,30.099
0.819867,45.994
0.8275,71.527
0.833606,101.024
0.835132,128.808
0.845818,155.483
0.850398,173.637
0.86261,150.993
0.86719,120.959
0.868717,94.884
0.879402,63.732
0.883982,31.43
0.890088,-0.868
