x,Q_mi_first_cycle,P_lv_first_cycle,P_la_first_cycle
-0.74695,-0.131,,
-0.72432,30.817,,
-0.712413,68.579,,
-0.699234,139.489,,
-0.69193,181.232,,
-0.68599,201.827,,
-0.676983,220.149,,
-0.667771,211.615,,
-0.653874,188.242,,
-0.639976,164.869,,
-0.603057,121.016,,
-0.557017,80.629,,
-0.51876,61.354,,
-0.459132,38.163,,
-0.416364,26.906,,
-0.382893,35.611,,
-0.360181,55.702,,
-0.352777,84.303,,
-0.348474,119.749,,
-0.342555,143.201,,
-0.329054,171.827,,
-0.318165,143.299,,
-0.313414,119.889,,
-0.307038,83.343,,
-0.302243,54.22,,
-0.297495,31.381,,
-0.292678,-0.599,,
-0.286337,-32.574,,
-0.277017,-55.394,,
-0.27382,-74.81,,
-0.267649,-84.499,,
-0.261621,-75.332,,
-0.255846,-33.023,,
-0.25457,-0.447,,
-0.254452,-15.875,,
-0.253163,14.987,,
-0.250241,31.57,,
-0.243995,12.167,,
-0.240855,0.179,,
-0.239291,-4.957,,
-0.23332,11.638,,
-0.225607,-0.331,,
-0.19512,-0.209,,
-0.137187,-1.12,,
-0.100607,-0.402,,
-0.079266,-0.317,,
-0.062498,-0.25,,
