x,p_lv_cycle_1,p_la_cycle_1
-0.746864,29.758,
-0.733269,17.538,
-0.710503,4.179,
-0.684491,2.751,
-0.646184,4.161,
-0.606373,3.865,
-0.554301,4.135,
-0.497627,4.971,
-0.424072,8.075,
-0.365836,10.899,
-0.321378,14.012,
-0.289215,14.287,
-0.265991,30.757,
-0.256468,52.63,
-0.251674,65.696,
-0.243734,84.16,
-0.240415,100.921,
-0.234028,117.964,
-0.218636,123.073,
-0.191049,124.486,
-0.160369,127.886,
-0.132791,128.731,
-0.114445,126.737,
-0.102285,120.768,
-0.097817,112.528,
-0.0903,103.435,
-0.08584,94.627,
-0.081416,83.546,
-0.075451,73.033,
-0.068008,59.11,
-0.063561,49.45,
-0.057597,38.937,
