"Cell Type","P","vtkOriginalCellIds"
5,11399,15641
5,11036,15641
5,10675,15641
5,10319,15641
5,9969.2,15641
5,9648.1,15641
5,9411.7,15641
5,9249.5,15641
5,9099.2,15641
5,8950.5,15641
5,8825.6,15641
5,8714.6,15641
5,8643.4,15641
5,9542.6,15641
5,14765,15641
5,27441,15641
5,45509,15641
5,60857,15641
5,69501,15641
5,74212,15641
5,75057,15641
5,77265,15641
5,79154,15641
5,80009,15641
5,80546,15641
5,81072,15641
5,81651,15641
5,79824,15641
5,70072,15641
5,52911,15641
5,30827,15641
5,35840,15641
5,32245,15641
5,26265,15641
5,21035,15641
5,17819,15641
5,14933,15641
5,12598,15641
5,10589,15641
5,9062.1,15641
5,7652.5,15641
5,6500.6,15641
5,5596.5,15641
5,4869.5,15641
5,4271.7,15641
5,3772.9,15641
5,3391.7,15641
5,3183.9,15641
5,3036.2,15641
5,2961.5,15641
5,3022.3,15641
