"Cell Type","P","vtkOriginalCellIds"
5,11409,11350
5,11048,11350
5,10686,11350
5,10329,11350
5,9976.6,11350
5,9650.7,11350
5,9392.1,11350
5,9220.1,11350
5,9080.1,11350
5,8940.3,11350
5,8814.4,11350
5,8706,11350
5,8622.3,11350
5,9140.1,11350
5,13068,11350
5,23954,11350
5,41370,11350
5,59559,11350
5,71694,11350
5,75631,11350
5,78119,11350
5,80483,11350
5,79831,11350
5,80326,11350
5,81085,11350
5,80889,11350
5,82282,11350
5,81151,11350
5,72567,11350
5,57305,11350
5,34681,11350
5,38017,11350
5,31285,11350
5,25886,11350
5,21666,11350
5,18222,11350
5,15278,11350
5,12854,11350
5,10838,11350
5,9132.3,11350
5,7730.7,11350
5,6594.6,11350
5,5699.7,11350
5,4990.3,11350
5,4414.4,11350
5,3928.5,11350
5,3530,11350
5,3276.3,11350
5,3111.1,11350
5,3013.5,11350
5,3051.8,11350
