"Cell Type","P","vtkOriginalCellIds"
5,11402,14645
5,11038,14645
5,10677,14645
5,10321,14645
5,9971.4,14645
5,9650.8,14645
5,9417.8,14645
5,9256.8,14645
5,9104.9,14645
5,8954,14645
5,8828.9,14645
5,8716.4,14645
5,8642.7,14645
5,9598.9,14645
5,15089,14645
5,27971,14645
5,44957,14645
5,59321,14645
5,67757,14645
5,72593,14645
5,75292,14645
5,77326,14645
5,78617,14645
5,79589,14645
5,80215,14645
5,80713,14645
5,81315,14645
5,79322,14645
5,69619,14645
5,52890,14645
5,31794,14645
5,36561,14645
5,32597,14645
5,26257,14645
5,21669,14645
5,18160,14645
5,15039,14645
5,12818,14645
5,10651,14645
5,8913,14645
5,7585.8,14645
5,6495.7,14645
5,5626,14645
5,4928.8,14645
5,4338.4,14645
5,3826.1,14645
5,3423.5,14645
5,3188.2,14645
5,3029.2,14645
5,2961.7,14645
5,3031.1,14645
