"Cell Type","P","vtkOriginalCellIds"
5,11395,13362
5,11029,13362
5,10668,13362
5,10313,13362
5,9964.3,13362
5,9642.6,13362
5,9400.5,13362
5,9226.5,13362
5,9063.5,13362
5,8901.6,13362
5,8763.2,13362
5,8631.3,13362
5,8536.3,13362
5,9347.5,13362
5,14050,13362
5,24657,13362
5,37539,13362
5,47176,13362
5,52761,13362
5,56470,13362
5,57041,13362
5,57435,13362
5,55646,13362
5,58277,13362
5,53075,13362
5,54528,13362
5,57509,13362
5,57538,13362
5,48030,13362
5,38642,13362
5,24048,13362
5,28601,13362
5,26064,13362
5,21295,13362
5,16991,13362
5,14016,13362
5,10868,13362
5,8769.4,13362
5,7594.6,13362
5,6660.5,13362
5,5794.4,13362
5,5075.4,13362
5,4554.6,13362
5,4213.8,13362
5,3882.9,13362
5,3516,13362
5,3217,13362
5,3048.1,13362
5,2917.9,13362
5,2844.2,13362
5,2895.1,13362
