"Cell Type","P","vtkOriginalCellIds"
5,11788,10864
5,11362,10864
5,10950,10864
5,10552,10864
5,10168,10864
5,9799.5,10864
5,9448.7,10864
5,9114.3,10864
5,8791.7,10864
5,8483.5,10864
5,8180.5,10864
5,7892.7,10864
5,7618.2,10864
5,7418.8,10864
5,7505.9,10864
5,7896.3,10864
5,7386.1,10864
5,9027.2,10864
5,8926.8,10864
5,7295.7,10864
5,6124.6,10864
5,6437.9,10864
5,6036.3,10864
5,7794.9,10864
5,6253.3,10864
5,5469.7,10864
5,14245,10864
5,7260.6,10864
5,8138.4,10864
5,5630.8,10864
5,6131,10864
5,4826.2,10864
5,4350.8,10864
5,4646.2,10864
5,4414.4,10864
5,4165.6,10864
5,3498,10864
5,3256,10864
5,3070.6,10864
5,2998.8,10864
5,2722.6,10864
5,2561.7,10864
5,2471.7,10864
5,2389.1,10864
5,2295.9,10864
5,2205.4,10864
5,2123.8,10864
5,2054.7,10864
5,1988,10864
5,1924.8,10864
5,1870.5,10864
