"Cell Type","P","vtkOriginalCellIds"
5,3250.6,9463
5,3377.8,9463
5,3504.7,9463
5,3631.8,9463
5,3759.3,9463
5,3922.7,9463
5,4234.8,9463
5,4755.7,9463
5,5401.1,9463
5,6065.9,9463
5,6729.4,9463
5,7393.6,9463
5,8075.3,9463
5,10137,9463
5,18228,9463
5,34863,9463
5,55741,9463
5,72014,9463
5,79578,9463
5,81415,9463
5,82015,9463
5,82632,9463
5,83215,9463
5,83837,9463
5,84448,9463
5,85073,9463
5,85444,9463
5,82028,9463
5,69135,9463
5,46921,9463
5,22858,9463
5,6617.1,9463
5,744.27,9463
5,637.96,9463
5,1062.3,9463
5,1369.9,9463
5,1537.6,9463
5,1668,9463
5,1796.7,9463
5,1936.2,9463
5,2056.4,9463
5,2184.9,9463
5,2311.9,9463
5,2440,9463
5,2568.4,9463
5,2697.3,9463
5,2824,9463
5,2948,9463
5,3075.1,9463
5,3201,9463
5,3323.5,9463
