"Cell Type","P","vtkOriginalCellIds"
5,11390,23538
5,11029,23538
5,10673,23538
5,10320,23538
5,9971.8,23538
5,9650.5,23538
5,9409.9,23538
5,9238,23538
5,9077,23538
5,8918.1,23538
5,8783.1,23538
5,8658.2,23538
5,8574.6,23538
5,9436.5,23538
5,14378,23538
5,26102,23538
5,41508,23538
5,51410,23538
5,59055,23538
5,62727,23538
5,66019,23538
5,70229,23538
5,70507,23538
5,71965,23538
5,71971,23538
5,72528,23538
5,72717,23538
5,71279,23538
5,62481,23538
5,47310,23538
5,28369,23538
5,34358,23538
5,29878,23538
5,23019,23538
5,20225,23538
5,16886,23538
5,14027,23538
5,11590,23538
5,9544.2,23538
5,8055.5,23538
5,6864.9,23538
5,6129.6,23538
5,5367.1,23538
5,4713.6,23538
5,4181.4,23538
5,3718.7,23538
5,3372.5,23538
5,3181.9,23538
5,3026.4,23538
5,2940.3,23538
5,2993.1,23538
