"Cell Type","P","vtkOriginalCellIds"
5,11796,14123
5,11368,14123
5,10955,14123
5,10556,14123
5,10171,14123
5,9801.4,14123
5,9447.8,14123
5,9109.1,14123
5,8782.6,14123
5,8478.7,14123
5,8163.1,14123
5,7871.3,14123
5,7591.4,14123
5,7361.1,14123
5,7309.6,14123
5,7561,14123
5,6552.7,14123
5,6617.7,14123
5,3918.1,14123
5,5289,14123
5,2990.8,14123
5,3321.3,14123
5,4251.2,14123
5,-1182.4,14123
5,5664.5,14123
5,5726.8,14123
5,849.7,14123
5,3211.4,14123
5,1370.7,14123
5,1346.1,14123
5,3668.6,14123
5,4679.9,14123
5,4167.6,14123
5,3493.8,14123
5,3366.7,14123
5,2486,14123
5,2991.6,14123
5,2862.4,14123
5,2576.1,14123
5,2599.6,14123
5,2559.4,14123
5,2492.4,14123
5,2406.4,14123
5,2325.4,14123
5,2243.5,14123
5,2150.8,14123
5,2088.2,14123
5,2023.8,14123
5,1959.2,14123
5,1898,14123
5,1843.2,14123
