"Cell Type","P","vtkOriginalCellIds"
5,3255.3,1777
5,3381.5,1777
5,3504.5,1777
5,3626,1777
5,3749.6,1777
5,3910.7,1777
5,4219.9,1777
5,4738.3,1777
5,5382.7,1777
5,6044.4,1777
5,6702.6,1777
5,7363.6,1777
5,8038.4,1777
5,10095,1777
5,18090,1777
5,34585,1777
5,55377,1777
5,71758,1777
5,79497,1777
5,81457,1777
5,82076,1777
5,82698,1777
5,83255,1777
5,83870,1777
5,84461,1777
5,85076,1777
5,85454,1777
5,82083,1777
5,69286,1777
5,47323,1777
5,23147,1777
5,6734.3,1777
5,654.97,1777
5,571.57,1777
5,1042.5,1777
5,1353.6,1777
5,1523.3,1777
5,1653.4,1777
5,1781.2,1777
5,1978.5,1777
5,2055.1,1777
5,2184.4,1777
5,2312.2,1777
5,2441.6,1777
5,2571.4,1777
5,2701.5,1777
5,2827.9,1777
5,2950,1777
5,3076.1,1777
5,3200.7,1777
5,3323.6,1777
