"Cell Type","P","vtkOriginalCellIds"
5,3246.2,12301
5,3372.9,12301
5,3498.9,12301
5,3625.2,12301
5,3752.1,12301
5,3913.7,12301
5,4215.5,12301
5,4729.8,12301
5,5376.7,12301
5,6041.8,12301
5,6699.6,12301
5,7361.3,12301
5,8031.5,12301
5,9929.4,12301
5,17360,12301
5,32761,12301
5,52199,12301
5,67974,12301
5,76087,12301
5,79050,12301
5,80307,12301
5,81393,12301
5,82077,12301
5,82803,12301
5,83409,12301
5,84033,12301
5,84487,12301
5,81514,12301
5,69615,12301
5,48868,12301
5,24279,12301
5,3953.4,12301
5,-151.71,12301
5,275.98,12301
5,1079.9,12301
5,1394.4,12301
5,1520.1,12301
5,1646.5,12301
5,1778.5,12301
5,1953.1,12301
5,2050.8,12301
5,2182.7,12301
5,2309.6,12301
5,2441.6,12301
5,2573.7,12301
5,2708.1,12301
5,2831.6,12301
5,2941.2,12301
5,3068.3,12301
5,3192.2,12301
5,3305.9,12301
