"Cell Type","P","vtkOriginalCellIds"
11,3248,6675
11,3374.9,6675
11,3501.1,6675
11,3627.7,6675
11,3754.8,6675
11,3916.9,6675
11,4222.6,6675
11,4738.9,6675
11,5384.7,6675
11,6048.9,6675
11,6708.2,6675
11,7369.9,6675
11,8043.6,6675
11,10006,6675
11,17698,6675
11,33643,6675
11,53927,6675
11,70268,6675
11,78286,6675
11,80711,6675
11,81531,6675
11,82307,6675
11,82872,6675
11,83513,6675
11,84087,6675
11,84693,6675
11,85103,6675
11,81928,6675
11,69542,6675
11,48087,6675
11,23602,6675
11,6657.8,6675
11,293.29,6675
11,273.89,6675
11,1009.5,6675
11,1356.5,6675
11,1514.6,6675
11,1646,6675
11,1777.7,6675
11,1942.9,6675
11,2048.1,6675
11,2179,6675
11,2306.5,6675
11,2436.8,6675
11,2567.6,6675
11,2700,6675
11,2825.5,6675
11,2942.6,6675
11,3070.7,6675
11,3194.7,6675
11,3311.6,6675
